Serial_Number,Acceleration_m_s2,Status,Production_Order
SN4QHWUYLL,2.8724993403731087,NG,0
SNZZCXBZ5B,0.6718025952295487,OK,1
SNW8MX023R,0.9385090754372636,OK,2
SNQCGWJTD0,3.998422414157335,NG,3
SNPJ1BV3GH,0.9567255839847695,OK,4
SNPSDBFD4T,2.8445572478980887,NG,5
SN19KP6QHP,1.5367328598687666,OK,6
SNYWRTZ104,1.0936680619738177,OK,7
SNQA0GJZAH,2.953298199813763,NG,8
SNZLSH8E3G,0.6561764423545715,OK,9
SNJHM98YZX,0.8948600228613683,OK,10
SN2APCAE1P,0.7800828787720591,OK,11
SN2JQQ1N77,0.8274302382676989,OK,12
SND5YQ4N7G,4.685656176525594,NG,13
SNX3BF33V5,0.6379033450587536,OK,14
SNL308A2NC,0.9540622124490541,OK,15
SNFH2J8ZQ7,1.0846819969512782,OK,16
SN7ZMBCSBB,0.6013662449526772,OK,17
SN3Y78AUB1,0.5532135753532698,OK,18
SN7F7DLSZE,2.811785142278476,NG,19
SN9FXLR8JF,0.6615111229230618,OK,20
SNR4CVU1CU,1.1456997826224513,OK,21
SNV7G8TAL3,0.49946951643060367,OK,22
SN0Y65GR1B,0.8205414105586011,OK,23
SNAME7JURC,1.5638145000213424,OK,24
SNVZ8ZLHV0,0.9239169601358548,OK,25
SN04TTBR8D,0.9737870432914656,OK,26
SN8PWVHGCS,1.1482047487091376,OK,27
SN8MXX5H22,0.6611152803723922,OK,28
SN9W5838EU,0.4755741113763789,OK,29
SNDS354FZ4,0.8529533828488235,OK,30
SN68W7Y8CT,0.8796211485045612,OK,31
SN06CZ7XYB,0.3145367615860517,OK,32
SN2B1S8J41,0.9125215744048334,OK,33
SN0ZNGVAHR,2.9172127946371775,NG,34
SNPMYQ39B7,0.5261155780927973,OK,35
SNYX0XXFQ8,0.9306667545124441,OK,36
SNHEDF75RN,1.0676790981110402,OK,37
SN5USU311Y,0.9760034625590241,OK,38
SNJMAA970A,1.0043018716224672,OK,39
SNREX4CM1R,0.7265599274581097,OK,40
SNX4P3E5EM,0.46174869867782126,OK,41
SNR11W85YK,0.6658560612848261,OK,42
SNE96KU7AE,0.6241828694388126,OK,43
SNDRZRB372,4.005364110131202,NG,44
SNVZM88MCA,1.127981271637979,OK,45
SN8K4NM6BY,0.4064479615507494,OK,46
SNS1H41K19,0.8432750068452173,OK,47
SNGDL40WKJ,0.4809795063446442,OK,48
SNZT7ZY7MN,0.5779859246531687,OK,49
SNY05SV0XN,0.9676222257835525,OK,50
SNUMUMJG3P,0.4430164839902903,OK,51
SN6UREM0WY,1.0202732869108937,OK,52
SNRP6EY4LT,4.15760501125123,NG,53
