Serial_Number,Operator,Trial,Acceleration_m_s2,Status
SN4QHWUYLL,Operator_A,1,1.42,OK
SN4QHWUYLL,Operator_A,2,1.39,OK
SN4QHWUYLL,Operator_A,3,1.45,OK
SNW8MX023R,Operator_A,1,2.52,NG
SNW8MX023R,Operator_A,2,2.49,NG
SNW8MX023R,Operator_A,3,2.55,NG
SNZLSH8E3G,Operator_A,1,1.12,OK
SNZLSH8E3G,Operator_A,2,1.09,OK
SNZLSH8E3G,Operator_A,3,1.15,OK
SNK9PL2R4X,Operator_A,1,1.62,OK
SNK9PL2R4X,Operator_A,2,2.61,NG
SNK9PL2R4X,Operator_A,3,1.65,OK
SNV3QMN7DF,Operator_A,1,2.05,OK
SNV3QMN7DF,Operator_A,2,2.02,OK
SNV3QMN7DF,Operator_A,3,2.57,NG
SNB2RT8Y5H,Operator_A,1,1.28,OK
SNB2RT8Y5H,Operator_A,2,1.25,OK
SNB2RT8Y5H,Operator_A,3,1.31,OK
SN7CXW9E2P,Operator_A,1,2.52,NG
SN7CXW9E2P,Operator_A,2,2.49,NG
SN7CXW9E2P,Operator_A,3,2.55,NG
SNL5MK4D9N,Operator_A,1,1.18,OK
SNL5MK4D9N,Operator_A,2,1.15,OK
SNL5MK4D9N,Operator_A,3,1.21,OK
SNP8QZ3F6J,Operator_A,1,1.52,OK
SNP8QZ3F6J,Operator_A,2,1.49,OK
SNP8QZ3F6J,Operator_A,3,1.55,OK
SN6TYV1G7K,Operator_A,1,2.15,OK
SN6TYV1G7K,Operator_A,2,2.12,OK
SN6TYV1G7K,Operator_A,3,2.17,OK
SNM2DK5H8L,Operator_A,1,1.08,OK
SNM2DK5H8L,Operator_A,2,1.05,OK
SNM2DK5H8L,Operator_A,3,1.11,OK
SN9FGN3R2W,Operator_A,1,1.72,OK
SN9FGN3R2W,Operator_A,2,1.69,OK
SN9FGN3R2W,Operator_A,3,1.75,OK
SNR4XS7T5Q,Operator_A,1,1.75,OK
SNR4XS7T5Q,Operator_A,2,2.74,NG
SNR4XS7T5Q,Operator_A,3,1.77,OK
